step	datetime	dev_loss	dev_accuracy	best_dev_accuracy
100	2020-07-22 09:05:53	4447.656395	29.42	29.42
200	2020-07-22 09:10:46	2717.060234	38.21	38.21
300	2020-07-22 09:15:42	2414.735394	39.81	39.81
400	2020-07-22 09:20:36	2583.862572	45.06	45.06
500	2020-07-22 09:25:31	2402.547409	43.99	45.06
600	2020-07-22 09:30:20	2692.438675	46.80	46.80
700	2020-07-22 09:35:10	2351.399429	47.74	47.74
800	2020-07-22 09:40:15	2083.744762	47.34	47.74
900	2020-07-22 09:45:05	2233.185101	50.25	50.25
1000	2020-07-22 09:49:53	2545.676033	49.20	50.25
1100	2020-07-22 09:54:48	2414.555386	56.80	56.80
1200	2020-07-22 09:59:44	2291.223244	53.71	56.80
1300	2020-07-22 10:04:34	2229.621189	54.76	56.80
1400	2020-07-22 10:09:17	2099.688580	58.76	58.76
1500	2020-07-22 10:14:24	2098.659637	59.71	59.71
1600	2020-07-22 10:19:19	2628.976738	60.76	60.76
1700	2020-07-22 10:24:18	2136.339996	55.74	60.76
1800	2020-07-22 10:29:04	2156.109341	61.49	61.49
1900	2020-07-22 10:34:00	2255.023964	61.79	61.79
2000	2020-07-22 10:38:53	2200.909344	62.08	62.08
2100	2020-07-22 10:43:51	2352.703224	62.96	62.96
2200	2020-07-22 10:48:45	2309.367294	61.89	62.96
2300	2020-07-22 10:53:39	2323.170376	60.58	62.96
2400	2020-07-22 10:58:35	2391.479771	61.38	62.96
2500	2020-07-22 11:03:22	2308.016125	63.19	63.19
2600	2020-07-22 11:08:10	2254.984798	64.15	64.15
2700	2020-07-22 11:13:05	2590.415096	63.60	64.15
2800	2020-07-22 11:17:56	2108.731186	62.27	64.15
2900	2020-07-22 11:22:42	2539.983639	64.55	64.55
3000	2020-07-22 11:27:32	2492.557377	60.99	64.55
3100	2020-07-22 11:32:29	2277.507351	63.69	64.55
3200	2020-07-22 11:37:24	2365.805016	64.90	64.90
3300	2020-07-22 11:42:13	2385.532036	64.27	64.90
3400	2020-07-22 11:47:08	2328.828060	64.84	64.90
3500	2020-07-22 11:51:49	2509.180389	64.06	64.90
3600	2020-07-22 11:56:47	2617.274765	65.15	65.15
3700	2020-07-22 12:01:41	2586.278210	65.52	65.52
3800	2020-07-22 12:06:29	2596.971859	65.23	65.52
3900	2020-07-22 12:11:16	2461.157623	65.49	65.52
4000	2020-07-22 12:16:08	2571.700363	65.30	65.52
4100	2020-07-22 12:20:48	2657.342175	65.06	65.52
4200	2020-07-22 12:25:44	2623.293087	66.04	66.04
4300	2020-07-22 12:30:31	2813.847557	65.28	66.04
4400	2020-07-22 12:35:27	2539.658493	64.84	66.04
4500	2020-07-22 12:40:14	2688.746120	64.71	66.04
4600	2020-07-22 12:45:09	2629.496853	64.93	66.04
4700	2020-07-22 12:49:56	3002.981552	65.58	66.04
4800	2020-07-22 12:54:25	3028.922119	64.91	66.04
4900	2020-07-22 12:59:29	2632.357941	64.93	66.04
5000	2020-07-22 13:04:19	2941.691296	66.10	66.10
5100	2020-07-22 13:09:10	2902.109203	65.57	66.10
5200	2020-07-22 13:14:00	3039.458286	65.08	66.10
5300	2020-07-22 13:18:45	3127.230370	65.51	66.10
5400	2020-07-22 13:23:40	3094.518814	65.71	66.10
5500	2020-07-22 13:28:39	2851.139900	65.95	66.10
5600	2020-07-22 13:33:27	3144.092278	65.86	66.10
5700	2020-07-22 13:38:16	3156.971939	66.02	66.10
5800	2020-07-22 13:43:11	3035.001369	65.62	66.10
5900	2020-07-22 13:47:52	3282.385277	65.39	66.10
6000	2020-07-22 13:52:40	3336.865765	65.43	66.10
6100	2020-07-22 13:57:16	3032.866516	64.65	66.10
6200	2020-07-22 14:02:17	2887.905083	65.06	66.10
6300	2020-07-22 14:07:09	3299.713097	65.92	66.10
6400	2020-07-22 14:12:00	3055.380836	64.73	66.10
6500	2020-07-22 14:16:53	3388.851997	65.71	66.10
6600	2020-07-22 14:21:44	3115.633675	65.72	66.10
6700	2020-07-22 14:26:23	3039.809185	65.84	66.10
6800	2020-07-22 14:31:15	3465.401703	65.60	66.10
6900	2020-07-22 14:36:06	3082.362877	65.76	66.10
7000	2020-07-22 14:41:08	3100.717049	66.62	66.62
7100	2020-07-22 14:45:47	3741.947197	65.25	66.62
7200	2020-07-22 14:50:28	3663.496117	65.82	66.62
7300	2020-07-22 14:55:24	4073.241119	66.03	66.62
7400	2020-07-22 15:00:12	3566.696709	65.06	66.62
7500	2020-07-22 15:05:03	3875.094749	65.62	66.62
7600	2020-07-22 15:10:06	3702.685562	65.73	66.62
7700	2020-07-22 15:15:06	3530.803078	64.78	66.62
7800	2020-07-22 15:20:16	3919.389565	65.47	66.62
7900	2020-07-22 15:25:14	3713.986000	64.57	66.62
8000	2020-07-22 15:30:19	3626.065826	64.90	66.62
8100	2020-07-22 15:35:15	4123.933411	65.18	66.62
8200	2020-07-22 15:40:20	3850.473938	65.50	66.62
8300	2020-07-22 15:45:15	3571.232803	64.85	66.62
8400	2020-07-22 15:50:26	4047.136719	65.72	66.62
8500	2020-07-22 15:55:36	4091.339325	65.57	66.62
8600	2020-07-22 16:00:41	3733.779655	65.53	66.62
8700	2020-07-22 16:05:41	4038.063896	65.40	66.62
8800	2020-07-22 16:10:58	3655.263069	64.98	66.62
8900	2020-07-22 16:16:01	3683.202614	65.56	66.62
9000	2020-07-22 16:20:57	4101.054924	65.76	66.62
9100	2020-07-22 16:26:15	3907.422997	65.26	66.62
9200	2020-07-22 16:31:05	4385.992531	65.30	66.62
9300	2020-07-22 16:36:21	3924.879143	65.15	66.62
9400	2020-07-22 16:41:24	4054.830933	65.35	66.62
9500	2020-07-22 16:46:34	4429.562073	66.64	66.64
9600	2020-07-22 16:51:35	3822.657455	65.03	66.64
9700	2020-07-22 16:56:39	4499.441597	64.83	66.64
9800	2020-07-22 17:01:42	4036.393234	65.01	66.64
9900	2020-07-22 17:06:42	4441.357933	64.75	66.64
10000	2020-07-22 17:11:51	4240.657272	65.97	66.64
10100	2020-07-22 17:16:50	4336.072968	65.52	66.64
10200	2020-07-22 17:22:10	4292.982506	65.39	66.64
10300	2020-07-22 17:27:06	4696.991684	65.21	66.64
10400	2020-07-22 17:32:02	4553.659767	65.06	66.64
10500	2020-07-22 17:37:16	4140.318039	65.29	66.64
10600	2020-07-22 17:42:10	4017.867645	64.90	66.64
10700	2020-07-22 17:47:08	4714.721558	64.88	66.64
10800	2020-07-22 17:52:32	4362.084183	65.59	66.64
10900	2020-07-22 17:57:30	4904.208664	64.42	66.64
11000	2020-07-22 18:02:20	4366.591881	65.51	66.64
11100	2020-07-22 18:07:36	5491.728958	65.01	66.64
11200	2020-07-22 18:12:22	5077.702927	64.45	66.64
11300	2020-07-22 18:17:20	5086.629929	65.70	66.64
11400	2020-07-22 18:22:19	4992.966225	66.15	66.64
11500	2020-07-22 18:27:29	4821.394508	66.12	66.64
11600	2020-07-22 18:32:25	4807.750992	65.36	66.64
11700	2020-07-22 18:37:29	5079.660439	64.98	66.64
11800	2020-07-22 18:42:27	5236.271332	64.95	66.64
11900	2020-07-22 18:47:31	4377.976082	65.06	66.64
12000	2020-07-22 18:52:40	4975.870132	65.45	66.64
12100	2020-07-22 18:57:37	5062.349030	65.85	66.64
12200	2020-07-22 19:02:40	4972.334061	65.48	66.64
12300	2020-07-22 19:07:35	5032.200966	65.31	66.64
12400	2020-07-22 19:12:56	4789.803024	65.14	66.64
12500	2020-07-22 19:17:54	5391.519760	64.44	66.64
12600	2020-07-22 19:22:50	4740.705818	65.35	66.64
12700	2020-07-22 19:27:48	4950.302933	64.77	66.64
12800	2020-07-22 19:32:50	4744.806374	65.17	66.64
12900	2020-07-22 19:38:01	5371.749069	64.76	66.64
13000	2020-07-22 19:43:05	4944.546539	64.38	66.64
13100	2020-07-22 19:48:07	5111.080765	64.88	66.64
13200	2020-07-22 19:53:06	4364.520035	64.86	66.64
13300	2020-07-22 19:58:19	5459.523941	64.88	66.64
13400	2020-07-22 20:03:09	5675.985992	65.94	66.64
13500	2020-07-22 20:08:15	4752.281807	65.77	66.64
13600	2020-07-22 20:13:21	5141.772858	66.21	66.64
13700	2020-07-22 20:18:18	4876.500549	65.50	66.64
13800	2020-07-22 20:23:30	4679.647560	65.78	66.64
13900	2020-07-22 20:28:39	5479.695511	65.52	66.64
14000	2020-07-22 20:33:27	5603.357635	65.39	66.64
14100	2020-07-22 20:38:35	4777.142761	65.62	66.64
14200	2020-07-22 20:43:42	5501.594406	65.80	66.64
14300	2020-07-22 20:48:45	5119.132683	65.69	66.64
14400	2020-07-22 20:53:42	5749.576126	66.33	66.64
14500	2020-07-22 20:58:48	6339.961411	65.55	66.64
14600	2020-07-22 21:04:00	5602.502991	65.53	66.64
14700	2020-07-22 21:09:03	4958.635719	64.74	66.64
14800	2020-07-22 21:14:05	5410.967056	65.99	66.64
14900	2020-07-22 21:18:55	4965.326508	65.15	66.64
15000	2020-07-22 21:23:58	5923.564774	65.82	66.64
15100	2020-07-22 21:29:01	5496.248276	66.07	66.64
15200	2020-07-22 21:33:50	5602.895370	65.56	66.64
15300	2020-07-22 21:39:07	5911.774734	65.79	66.64
15400	2020-07-22 21:44:09	5608.159576	64.83	66.64
15500	2020-07-22 21:49:11	6069.381927	65.44	66.64
15600	2020-07-22 21:54:00	5297.544693	65.18	66.64
15700	2020-07-22 21:59:03	5360.993073	65.52	66.64
15800	2020-07-22 22:04:18	5692.478271	65.01	66.64
15900	2020-07-22 22:09:16	5630.885902	65.70	66.64
16000	2020-07-22 22:14:07	6126.512833	65.85	66.64
16100	2020-07-22 22:19:07	5613.590393	65.39	66.64
16200	2020-07-22 22:24:23	5902.008804	65.58	66.64
16300	2020-07-22 22:29:22	6152.170395	65.77	66.64
16400	2020-07-22 22:34:33	5924.168503	66.25	66.64
16500	2020-07-22 22:39:28	5723.665497	65.65	66.64
16600	2020-07-22 22:44:26	6054.667389	65.79	66.64
16700	2020-07-22 22:49:22	5979.447388	65.25	66.64
16800	2020-07-22 22:54:35	5680.153000	64.74	66.64
16900	2020-07-22 22:59:29	6053.740509	65.50	66.64
17000	2020-07-22 23:04:43	6245.128433	65.21	66.64
17100	2020-07-22 23:09:39	6225.961044	65.13	66.64
17200	2020-07-22 23:14:36	5550.478088	65.34	66.64
17300	2020-07-22 23:19:46	6264.302200	65.20	66.64
17400	2020-07-22 23:24:41	6419.990829	65.48	66.64
17500	2020-07-22 23:29:53	6051.540375	65.44	66.64
17600	2020-07-22 23:34:54	6900.477325	65.88	66.64
17700	2020-07-22 23:39:57	6057.316330	65.07	66.64
17800	2020-07-22 23:45:03	5875.141861	65.17	66.64
17900	2020-07-22 23:50:03	6189.266052	66.08	66.64
18000	2020-07-22 23:55:11	6117.976059	65.49	66.64
18100	2020-07-23 00:00:09	5728.865128	65.12	66.64
18200	2020-07-23 00:05:13	6116.918503	65.76	66.64
18300	2020-07-23 00:10:17	6100.103638	65.70	66.64
18400	2020-07-23 00:15:16	5974.362396	64.58	66.64
18500	2020-07-23 00:20:28	6864.411469	64.64	66.64
18600	2020-07-23 00:25:33	6361.886566	65.27	66.64
18700	2020-07-23 00:30:45	7092.475235	64.71	66.64
18800	2020-07-23 00:35:52	7275.642624	65.49	66.64
18900	2020-07-23 00:40:42	7155.672180	65.29	66.64
19000	2020-07-23 00:45:36	6575.791168	65.04	66.64
19100	2020-07-23 00:50:50	6417.655823	65.64	66.64
19200	2020-07-23 00:55:54	6983.917221	65.86	66.64
19300	2020-07-23 01:00:55	6685.590164	64.52	66.64
19400	2020-07-23 01:06:05	7481.026596	65.00	66.64
19500	2020-07-23 01:11:21	6100.106628	64.87	66.64
